cat_code,category1,category2,category3,category4
50000434,패션잡화,패션소품,기타패션소품,
50000566,패션잡화,패션소품,넥워머,
50000568,패션잡화,패션소품,넥케이프,
50004014,패션잡화,패션소품,넥타이,기본넥타이
50004015,패션잡화,패션소품,넥타이,나비넥타이
50004016,패션잡화,패션소품,넥타이,넥타이핀
50004139,패션잡화,패션소품,라이터/담배용품,기타담배용품
50004138,패션잡화,패션소품,라이터/담배용품,담배케이스
50004137,패션잡화,패션소품,라이터/담배용품,라이터
50000565,패션잡화,패션소품,머플러,
50000571,패션잡화,패션소품,부채,
50004027,패션잡화,패션소품,브로치,보석브로치
50004029,패션잡화,패션소품,브로치,카네이션브로치
50004028,패션잡화,패션소품,브로치,패션브로치
50004012,패션잡화,패션소품,손수건,남성용
50004013,패션잡화,패션소품,손수건,여성용
50000567,패션잡화,패션소품,숄,
50004010,패션잡화,패션소품,스카프,롱
50004011,패션잡화,패션소품,스카프,쁘띠/미니
50004021,패션잡화,패션소품,스타킹,발목스타킹
50004023,패션잡화,패션소품,스타킹,밴드스타킹
50004026,패션잡화,패션소품,스타킹,스프레이스타킹
50004025,패션잡화,패션소품,스타킹,압박보정스타킹
50004022,패션잡화,패션소품,스타킹,판타롱스타킹
50004024,패션잡화,패션소품,스타킹,팬티스타킹
50004019,패션잡화,패션소품,양산,수동양산
50004020,패션잡화,패션소품,양산,자동양산
50000572,패션잡화,패션소품,와펜,
50004017,패션잡화,패션소품,우산,수동우산
50004018,패션잡화,패션소품,우산,자동우산
50000564,패션잡화,패션소품,커프스,
50000573,패션잡화,패션소품,코르사주,
50000570,패션잡화,패션소품,키홀더,
50000574,패션잡화,패션소품,한복소품,
50000569,패션잡화,패션소품,행커치프,
50004008,패션잡화,헤어액세서리,가발,남성가발
50004009,패션잡화,헤어액세서리,가발,여성가발
50000562,패션잡화,헤어액세서리,헤어끈,
50000560,패션잡화,헤어액세서리,헤어밴드,
50000563,패션잡화,헤어액세서리,헤어액세서리소품,
50000561,패션잡화,헤어액세서리,헤어핀,
50000333,화장품/미용,남성화장품,남성청결제,
50000334,화장품/미용,남성화장품,남성화장품세트,
50000322,화장품/미용,남성화장품,로션,
50000330,화장품/미용,남성화장품,마스크/팩,
50000331,화장품/미용,남성화장품,메이크업,
50000327,화장품/미용,남성화장품,선크림,
50000332,화장품/미용,남성화장품,쉐이빙폼,
50000329,화장품/미용,남성화장품,스크럽/필링,
50000321,화장품/미용,남성화장품,스킨,
50000325,화장품/미용,남성화장품,아이케어,
50000323,화장품/미용,남성화장품,에센스,
50000326,화장품/미용,남성화장품,올인원,
50000324,화장품/미용,남성화장품,크림,
50000328,화장품/미용,남성화장품,클렌징,
50000405,화장품/미용,네일케어,네일리무버,
50000403,화장품/미용,네일케어,네일아트,
50000404,화장품/미용,네일케어,네일영양제,
50000406,화장품/미용,네일케어,네일케어도구,
50000407,화장품/미용,네일케어,네일케어세트,
50000402,화장품/미용,네일케어,매니큐어,
50000468,화장품/미용,마스크/팩,마사지크림/젤,
50000469,화장품/미용,마스크/팩,마스크/팩세트,
50000463,화장품/미용,마스크/팩,마스크시트,
50000467,화장품/미용,마스크/팩,수면팩,
50000465,화장품/미용,마스크/팩,워시오프팩,
50000466,화장품/미용,마스크/팩,코팩,
50000464,화장품/미용,마스크/팩,필오프팩,
50000293,화장품/미용,바디케어,데오드란트,
50000288,화장품/미용,바디케어,목욕비누,
50000408,화장품/미용,바디케어,바디로션,
50000283,화장품/미용,바디케어,바디미스트,
50000286,화장품/미용,바디케어,바디스크럽,
50000295,화장품/미용,바디케어,바디슬리밍,
50000282,화장품/미용,바디케어,바디오일,
50000296,화장품/미용,바디케어,바디케어세트,
50000281,화장품/미용,바디케어,바디크림,
50000285,화장품/미용,바디케어,바디클렌저,
50000284,화장품/미용,바디케어,바디파우더,
50005287,화장품/미용,바디케어,샤워코롱,
50000292,화장품/미용,바디케어,아로마테라피,
50000287,화장품/미용,바디케어,여성청결제,
50000291,화장품/미용,바디케어,입욕제,
50000294,화장품/미용,바디케어,제모제,
50000290,화장품/미용,바디케어,풋케어,
50000289,화장품/미용,바디케어,핸드케어,
50000470,화장품/미용,베이스메이크업,BB크림,
50000471,화장품/미용,베이스메이크업,CC크림,
50000345,화장품/미용,베이스메이크업,메이크업베이스,
50000390,화장품/미용,베이스메이크업,베이스메이크업세트,
50000347,화장품/미용,베이스메이크업,컨실러,
50000346,화장품/미용,베이스메이크업,트윈케이크,
50004196,화장품/미용,베이스메이크업,파우더,루스파우더
50004580,화장품/미용,베이스메이크업,파우더,팩트파우더
50004197,화장품/미용,베이스메이크업,파운데이션,리퀴드형
50004581,화장품/미용,베이스메이크업,파운데이션,스틱형
50005288,화장품/미용,베이스메이크업,파운데이션,쿠션형
50004582,화장품/미용,베이스메이크업,파운데이션,크림형
50000472,화장품/미용,베이스메이크업,프라이머,
50005289,화장품/미용,뷰티소품,DIY화장품재료,
50004402,화장품/미용,뷰티소품,메이크업브러시,립브러시
50004589,화장품/미용,뷰티소품,메이크업브러시,브러시세트
50004587,화장품/미용,뷰티소품,메이크업브러시,아이브러시
50004588,화장품/미용,뷰티소품,메이크업브러시,페이스브러시
50000316,화장품/미용,뷰티소품,바디소품,
50004386,화장품/미용,뷰티소품,아이소품,기타아이소품
50004383,화장품/미용,뷰티소품,아이소품,눈썹가위
50004382,화장품/미용,뷰티소품,아이소품,눈썹칼
50004379,화장품/미용,뷰티소품,아이소품,뷰러
50004385,화장품/미용,뷰티소품,아이소품,샤프너
50004380,화장품/미용,뷰티소품,아이소품,속눈썹
50004380,화장품/미용,색조메이크업,속눈썹영양제,
50004380,화장품/미용,뷰티소품,아이소품,속눈썹/속눈썹펌제
50004381,화장품/미용,뷰티소품,아이소품,쌍꺼풀
50004384,화장품/미용,뷰티소품,아이소품,족집게
50000317,화장품/미용,뷰티소품,타투,
50004387,화장품/미용,뷰티소품,페이스소품,기름종이
50004395,화장품/미용,뷰티소품,페이스소품,기타페이스소품
50004391,화장품/미용,뷰티소품,페이스소품,마사지도구
50004586,화장품/미용,뷰티소품,페이스소품,면봉
50004392,화장품/미용,뷰티소품,페이스소품,세안도구
50004393,화장품/미용,뷰티소품,페이스소품,코털제거기
50004389,화장품/미용,뷰티소품,페이스소품,퍼프
50004394,화장품/미용,뷰티소품,페이스소품,피지/각질제거기
50004388,화장품/미용,뷰티소품,페이스소품,화장솜
50004401,화장품/미용,뷰티소품,헤어소품,기타헤어소품
50004397,화장품/미용,뷰티소품,헤어소품,미용가위
50004399,화장품/미용,뷰티소품,헤어소품,세안밴드
50004398,화장품/미용,뷰티소품,헤어소품,헤어롤
50004396,화장품/미용,뷰티소품,헤어소품,헤어브러시
50004400,화장품/미용,뷰티소품,헤어소품,헤어캡
50000319,화장품/미용,뷰티소품,화장품케이스,
50000393,화장품/미용,색조메이크업,립글로스,
50000395,화장품/미용,색조메이크업,립라이너,
50000391,화장품/미용,색조메이크업,립스틱,
50000392,화장품/미용,색조메이크업,립케어,
50000394,화장품/미용,색조메이크업,립틴트,
50000397,화장품/미용,색조메이크업,마스카라,
50000399,화장품/미용,색조메이크업,블러셔,
50000401,화장품/미용,색조메이크업,색조메이크업세트,
50004377,화장품/미용,색조메이크업,아이라이너,리퀴드형
50004583,화장품/미용,색조메이크업,아이라이너,젤형
50004584,화장품/미용,색조메이크업,아이라이너,펜슬형
50000398,화장품/미용,색조메이크업,아이브로,
50000396,화장품/미용,색조메이크업,아이섀도,
50000400,화장품/미용,색조메이크업,하이라이터,
50000400,화장품/미용,색조메이크업,하이라이터/쉐이딩,
50000447,화장품/미용,선케어,선스틱,
50000446,화장품/미용,선케어,선스프레이,
50000450,화장품/미용,선케어,선케어세트,
50000445,화장품/미용,선케어,선크림,
50000448,화장품/미용,선케어,선파우더/쿠션,
50000449,화장품/미용,선케어,애프터선,
50004195,화장품/미용,선케어,태닝,태닝스프레이
50004403,화장품/미용,선케어,태닝,태닝오일
50004404,화장품/미용,선케어,태닝,태닝크림
50004641,화장품/미용,선케어,태닝,태닝티슈
50000342,화장품/미용,스킨케어,넥케어,
50000438,화장품/미용,스킨케어,로션,
50000442,화장품/미용,스킨케어,미스트,
50000437,화장품/미용,스킨케어,스킨/토너,
50000441,화장품/미용,스킨케어,아이케어,
50000439,화장품/미용,스킨케어,에센스,
50000440,화장품/미용,스킨케어,크림,
50000443,화장품/미용,스킨케어,페이스오일,
50000444,화장품/미용,스킨케어,화장품세트,
50000460,화장품/미용,클렌징,립앤아이리무버,
50000461,화장품/미용,클렌징,스크럽/필링,
50000454,화장품/미용,클렌징,클렌징로션,
50000458,화장품/미용,클렌징,클렌징비누,
50000462,화장품/미용,클렌징,클렌징세트,
50000452,화장품/미용,클렌징,클렌징오일,
50000456,화장품/미용,클렌징,클렌징워터,
50000455,화장품/미용,클렌징,클렌징젤,
50000453,화장품/미용,클렌징,클렌징크림,
50000457,화장품/미용,클렌징,클렌징티슈,
50000459,화장품/미용,클렌징,클렌징파우더,
50000451,화장품/미용,클렌징,클렌징폼,
50000314,화장품/미용,향수,남녀공용향수,
50000313,화장품/미용,향수,남성향수,
50000312,화장품/미용,향수,여성향수,
50000315,화장품/미용,향수,향수세트,
50000311,화장품/미용,헤어스타일링,염색약,
50004378,화장품/미용,헤어스타일링,파마약,스트레이트
50004585,화장품/미용,헤어스타일링,파마약,웨이브
50000310,화장품/미용,헤어스타일링,헤어글레이즈,
50000308,화장품/미용,헤어스타일링,헤어무스,
50000307,화장품/미용,헤어스타일링,헤어스프레이,
50000306,화장품/미용,헤어스타일링,헤어왁스,
50000309,화장품/미용,헤어스타일링,헤어젤,
50000303,화장품/미용,헤어케어,두피케어,
50000298,화장품/미용,헤어케어,린스,
50000297,화장품/미용,헤어케어,샴푸,
50000304,화장품/미용,헤어케어,탈모케어,
50000299,화장품/미용,헤어케어,트리트먼트,
50000302,화장품/미용,헤어케어,헤어미스트,
50000300,화장품/미용,헤어케어,헤어에센스,
50000305,화장품/미용,헤어케어,헤어케어세트,
50000301,화장품/미용,헤어케어,헤어팩,
